,Name,Type,Score,Rank,Popularity,Members,URL
160,Aikagi The Animation,OVA,6.96,N/A,#8758,"1,190",https://myanimelist.net/anime/39085/Aikagi_The_Animation
161,Tsuma ga Kirei ni Natta Wake,OVA,6.57,N/A,#8901,"1,104",https://myanimelist.net/anime/38798/Tsuma_ga_Kirei_ni_Natta_Wake
162,Ano Danchi no Tsuma-tachi wa... The Animation,OVA,6.71,N/A,#9372,875,https://myanimelist.net/anime/39068/Ano_Danchi_no_Tsuma-tachi_wa_The_Animation
163,Megane no Megami,OVA,N/A,N/A,#10432,516,https://myanimelist.net/anime/39058/Megane_no_Megami
164,Shoujo Kyouiku RE,OVA,8.29,N/A,#10987,398,https://myanimelist.net/anime/39299/Shoujo_Kyouiku_RE
165,"Tenioha! 2: Nee, Motto Ecchi na Koto Ippai Shiyo? The Animation",OVA,N/A,N/A,#11927,283,https://myanimelist.net/anime/39640/Tenioha_2__Nee_Motto_Ecchi_na_Koto_Ippai_Shiyo_The_Animation
166,Hime-sama Love Life!,OVA,N/A,N/A,#15729,25,https://myanimelist.net/anime/39471/Hime-sama_Love_Life
167,Sakuramiya Shimai no Netorare Kiroku,OVA,N/A,N/A,#15739,22,https://myanimelist.net/anime/39526/Sakuramiya_Shimai_no_Netorare_Kiroku
168,Master Piece The Animation,OVA,N/A,N/A,#15745,18,https://myanimelist.net/anime/39392/Master_Piece_The_Animation
169,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,N/A,N/A,#1633,"55,510",https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
170,Koutetsujou no Kabaneri Movie 3: Unato Kessen,Movie,8.06,#496,#2521,"27,796",https://myanimelist.net/anime/34544/Koutetsujou_no_Kabaneri_Movie_3__Unato_Kessen
171,Promare,Movie,8.07,#13092,#2730,"24,231",https://myanimelist.net/anime/35848/Promare
172,Cencoroll 2,Movie,N/A,N/A,#2867,"22,101",https://myanimelist.net/anime/9488/Cencoroll_2
173,Hibike! Euphonium Movie 3: Chikai no Finale,Movie,7.63,#1298,#3164,"18,033",https://myanimelist.net/anime/35678/Hibike_Euphonium_Movie_3__Chikai_no_Finale
174,"Kimi to, Nami ni Noretara",Movie,N/A,N/A,#3735,"12,455",https://myanimelist.net/anime/38594/Kimi_to_Nami_ni_Noretara
175,Hakubo,Movie,7.67,#11567,#4682,"7,223",https://myanimelist.net/anime/34972/Hakubo
176,Girls & Panzer: Saishuushou Part 2,Movie,N/A,N/A,#4687,"7,209",https://myanimelist.net/anime/38081/Girls___Panzer__Saishuushou_Part_2
177,Kaijuu no Kodomo,Movie,N/A,N/A,#4793,"6,850",https://myanimelist.net/anime/37981/Kaijuu_no_Kodomo
178,Birthday Wonderland,Movie,6.84,#11007,#5290,"5,378",https://myanimelist.net/anime/38985/Birthday_Wonderland
179,Uta noâPrince-samaâª Maji Love Kingdom Movie,Movie,N/A,N/A,#5379,"5,139",https://myanimelist.net/anime/35645/Uta_noâPrince-samaâª_Maji_Love_Kingdom_Movie
180,Detective Conan Movie 23: The Fist of Blue Sapphire,Movie,7.40,#2064,#5587,"4,700",https://myanimelist.net/anime/38770/Detective_Conan_Movie_23__The_Fist_of_Blue_Sapphire
181,Soukyuu no Fafner: Dead Aggressor - The Beyond,Movie,7.45,#13506,#6035,"3,868",https://myanimelist.net/anime/34649/Soukyuu_no_Fafner__Dead_Aggressor_-_The_Beyond
